note,time,duration
31,0,47
31,334,30
31,384,47
31,481,52
31,635,52
31,769,57
31,1092,31
31,1154,49
31,1256,55
31,1400,63
35,1544,83
35,1860,27
35,1920,34
35,2025,53
30,2171,73
35,2306,98
35,2636,29
35,2689,36
35,2784,51
30,2928,65
36,3072,106
36,3396,27
36,3464,37
36,3557,52
31,3701,52
36,3844,79
36,4164,29
36,4229,37
36,4320,54
31,4464,62
36,4608,91
36,4932,30
36,4992,36
36,5090,92
31,5232,50
36,5380,100
38,5572,77
39,5760,88
41,5952,84
31,6144,47
31,6478,30
31,6528,47
31,6625,52
31,6779,52
31,6913,57
31,7236,31
31,7298,49
31,7400,55
31,7544,63
35,7688,83
35,8004,27
35,8064,34
35,8169,53
30,8315,73
35,8450,98
35,8780,29
35,8833,36
35,8928,51
30,9072,65
36,9216,106
36,9540,27
36,9608,37
36,9701,52
31,9845,52
36,9988,79
36,10308,29
36,10373,37
36,10464,54
31,10608,62
36,10752,91
36,11076,30
36,11136,36
36,11234,92
31,11376,50
36,11524,100
38,11716,77
39,11904,88
41,12096,84
31,12288,47
31,12622,30
31,12672,47
31,12769,52
31,12923,52
31,13057,57
31,13380,31
31,13442,49
31,13544,55
31,13688,63
35,13832,83
35,14148,27
35,14208,34
35,14313,53
30,14459,73
35,14594,98
35,14924,29
35,14977,36
35,15072,51
30,15216,65
36,15360,106
36,15684,27
36,15752,37
36,15845,52
31,15989,52
36,16132,79
36,16452,29
36,16517,37
36,16608,54
31,16752,62
36,16896,91
36,17220,30
36,17280,36
36,17378,92
31,17520,50
36,17668,100
38,17860,77
39,18048,88
41,18240,84
31,18432,47
31,18766,30
31,18816,47
31,18913,52
31,19067,52
31,19201,57
31,19524,31
31,19586,49
31,19688,55
31,19832,63
35,19976,83
35,20292,27
35,20352,34
35,20457,53
30,20603,73
35,20738,98
35,21068,29
35,21121,36
35,21216,51
30,21360,65
36,21504,106
36,21828,27
36,21896,37
36,21989,52
31,22133,52
36,22276,79
36,22596,29
36,22661,37
36,22752,54
31,22896,62
36,23040,91
36,23364,30
36,23424,36
36,23522,92
31,23664,50
36,23812,100
38,24004,77
39,24192,88
41,24384,84
31,24576,47
31,24910,30
31,24960,47
31,25057,52
31,25211,52
31,25345,57
31,25668,31
31,25730,49
31,25832,55
31,25976,63
35,26120,83
35,26436,27
35,26496,34
35,26601,53
30,26747,73
35,26882,98
35,27212,29
35,27265,36
35,27360,51
30,27504,65
36,27648,106
36,27972,27
36,28040,37
36,28133,52
31,28277,52
36,28420,79
36,28740,29
36,28805,37
36,28896,54
31,29040,62
36,29184,91
36,29508,30
36,29568,36
36,29666,92
31,29808,50
36,29956,100
38,30148,77
39,30336,88
41,30528,84
31,30720,47
31,31054,30
31,31104,47
31,31201,52
31,31355,52
31,31489,57
31,31812,31
31,31874,49
31,31976,55
31,32120,63
35,32264,83
35,32580,27
35,32640,34
35,32745,53
30,32891,73
35,33026,98
35,33356,29
35,33409,36
35,33504,51
30,33648,65
36,33792,106
36,34116,27
36,34184,37
36,34277,52
31,34421,52
36,34564,79
36,34884,29
36,34949,37
36,35040,54
31,35184,62
36,35328,91
36,35652,30
36,35712,36
36,35810,92
31,35952,50
36,36100,100
38,36292,77
39,36480,88
41,36672,84
31,36864,47
31,37198,30
31,37248,47
31,37345,52
31,37499,52
31,37633,57
31,37956,31
31,38018,49
31,38120,55
31,38264,63
35,38408,83
35,38724,27
35,38784,34
35,38889,53
30,39035,73
35,39170,98
35,39500,29
35,39553,36
35,39648,51
30,39792,65
36,39936,106
36,40260,27
36,40328,37
36,40421,52
31,40565,52
36,40708,79
36,41028,29
36,41093,37
36,41184,54
31,41328,62
36,41472,91
36,41796,30
36,41856,36
36,41954,92
31,42096,50
36,42244,100
38,42436,77
39,42624,88
41,42816,84
31,43008,47
31,43342,30
31,43392,47
31,43489,52
31,43643,52
31,43777,57
31,44100,31
31,44162,49
31,44264,55
31,44408,63
35,44552,83
35,44868,27
35,44928,34
35,45033,53
30,45179,73
35,45314,98
35,45644,29
35,45697,36
35,45792,51
30,45936,65
36,46080,106
36,46404,27
36,46472,37
36,46565,52
31,46709,52
36,46852,79
36,47172,29
36,47237,37
36,47328,54
31,47472,62
36,47616,91
36,47940,30
36,48000,36
36,48098,92
31,48240,50
36,48388,100
38,48580,77
39,48768,88
41,48960,84
31,49152,47
31,49486,30
31,49536,47
31,49633,52
31,49787,52
31,49921,57
31,50244,31
31,50306,49
31,50408,55
31,50552,63
35,50696,83
35,51012,27
35,51072,34
35,51177,53
30,51323,73
35,51458,98
35,51788,29
35,51841,36
35,51936,51
30,52080,65
36,52224,106
36,52548,27
36,52616,37
36,52709,52
31,52853,52
36,52996,79
36,53316,29
36,53381,37
36,53472,54
31,53616,62
36,53760,91
36,54084,30
36,54144,36
36,54242,92
31,54384,50
36,54532,960
31,55296,192
31,55931,48
31,56065,192
31,56696,63
35,56840,192
35,57456,73
35,57602,192
35,58224,65
36,58368,192
36,58992,52
36,59140,192
36,59760,62
36,59904,192
36,60528,50
36,60676,192
36,61296,48
31,61440,47
31,61774,30
31,61824,47
31,61921,52
31,62075,52
31,62209,57
31,62532,31
31,62594,49
31,62696,55
31,62840,63
35,62984,83
35,63300,27
35,63360,34
35,63465,53
30,63611,73
35,63746,98
35,64076,29
35,64129,36
35,64224,51
30,64368,65
36,64512,106
36,64836,27
36,64904,37
36,64997,52
31,65141,52
36,65284,79
36,65604,29
36,65669,37
36,65760,54
31,65904,62
36,66048,1440
