note,time,duration
46,17263,36
36,17266,37
58,17268,32
52,17268,25
48,17271,26
40,17271,22
55,17280,21
43,17280,14
46,17313,40
52,17315,33
48,17316,35
36,17316,29
55,17316,31
58,17316,44
43,17320,20
40,17320,21
46,17748,32
36,17748,32
58,17750,29
55,17752,20
52,17753,23
48,17753,31
43,17756,15
40,17756,16
58,17796,39
46,17796,48
52,17798,32
48,17799,39
43,17799,23
36,17799,33
55,17802,25
40,17803,18
46,18225,34
36,18226,36
58,18229,27
52,18231,19
48,18232,24
43,18232,20
55,18235,14
40,18235,19
58,18271,28
55,18273,20
52,18274,19
48,18274,23
46,18277,31
43,18281,20
40,18283,18
36,18284,17
58,18315,33
48,18315,34
52,18317,27
55,18319,21
46,18321,28
43,18325,15
40,18329,6
55,18432,1392
50,18432,1392
47,18432,1392
60,19008,96
59,19116,708
54,19968,1296
51,19968,1296
47,19968,1296
59,19968,1296
64,20544,96
63,20652,612
55,21504,1296
52,21504,1296
48,21504,1296
60,21504,720
65,22080,96
64,22188,612
62,22272,720
55,23040,1296
51,23040,1296
48,23040,1296
63,23040,720
65,23808,720
55,24576,576
50,24576,576
47,24576,576
46,35695,36
36,35698,37
58,35700,32
52,35700,25
48,35703,26
40,35703,22
55,35712,21
43,35712,14
46,35745,40
52,35747,33
48,35748,35
36,35748,29
55,35748,31
58,35748,44
43,35752,20
40,35752,21
46,36180,32
36,36180,32
58,36182,29
55,36184,20
52,36185,23
48,36185,31
43,36188,15
40,36188,16
58,36228,39
46,36228,48
52,36230,32
48,36231,39
43,36231,23
36,36231,33
55,36234,25
40,36235,18
46,36657,34
36,36658,36
58,36661,27
52,36663,19
48,36664,24
43,36664,20
55,36667,14
40,36667,19
58,36703,28
55,36705,20
52,36706,19
48,36706,23
46,36709,31
43,36713,20
40,36715,18
36,36716,17
58,36747,33
48,36747,34
52,36749,27
55,36751,21
46,36753,28
43,36757,15
40,36761,6
55,36864,1392
50,36864,1392
47,36864,1392
60,37440,96
59,37548,708
54,38400,1296
51,38400,1296
47,38400,1296
59,38400,1296
64,38976,96
63,39084,612
55,39936,1296
52,39936,1296
48,39936,1296
60,39936,720
65,40512,96
64,40620,612
62,40704,720
55,41472,1296
51,41472,1296
48,41472,1296
63,41472,720
65,42240,720
55,43008,1392
50,43008,1392
47,43008,1392
67,43008,720
60,43584,96
59,43692,708
67,43776,720
54,44544,1296
51,44544,1296
47,44544,1296
59,44544,1296
63,44544,720
66,45312,720
55,46080,1296
52,46080,1296
48,46080,1296
64,46080,720
67,46848,720
55,47616,1296
51,47616,1296
48,47616,1296
63,47616,720
60,48384,720
55,49152,1392
50,49152,1392
47,49152,1392
71,49152,1488
54,50688,1296
51,50688,1296
47,50688,1296
59,50688,1296
66,50688,720
69,51456,720
55,52224,1296
52,52224,1296
48,52224,1296
67,52224,720
64,52992,720
55,53760,1296
51,53760,1296
48,53760,1296
63,53760,720
60,54528,720
