note,time,duration
55,96,102
62,192,204
55,384,115
62,480,187
55,672,127
62,768,191
55,960,105
62,1056,181
59,1248,110
55,1344,145
54,1632,108
63,1728,203
59,1920,99
63,2016,180
59,2208,84
64,2304,170
59,2496,104
63,2592,190
59,2784,110
54,2880,125
55,3168,108
64,3264,203
60,3456,99
64,3552,180
60,3744,84
65,3840,170
60,4032,104
64,4128,190
60,4320,110
55,4416,125
55,4704,108
63,4800,203
60,4992,99
63,5088,180
60,5280,84
65,5376,170
60,5568,104
63,5664,190
60,5856,110
55,5952,125
55,6240,102
62,6336,204
55,6528,115
62,6624,187
55,6816,127
62,6912,191
55,7104,105
62,7200,181
59,7392,110
55,7488,145
54,7776,108
63,7872,203
59,8064,99
63,8160,180
59,8352,84
64,8448,170
59,8640,104
63,8736,190
59,8928,110
54,9024,125
55,9312,108
64,9408,203
60,9600,99
64,9696,180
60,9888,84
65,9984,170
60,10176,104
64,10272,190
60,10464,110
55,10560,125
55,10848,108
63,10944,203
60,11136,99
63,11232,180
60,11424,84
65,11520,170
60,11712,104
63,11808,190
60,12000,110
55,12096,125
55,12384,102
62,12480,204
55,12672,115
62,12768,187
55,12960,127
62,13056,191
55,13248,105
62,13344,181
59,13536,110
55,13632,145
54,13920,108
63,14016,203
59,14208,99
63,14304,180
59,14496,84
64,14592,170
59,14784,104
63,14880,190
59,15072,110
54,15168,125
55,15456,108
64,15552,203
60,15744,99
64,15840,180
60,16032,84
65,16128,170
60,16320,104
64,16416,190
60,16608,110
55,16704,125
55,16992,108
63,17088,203
60,17280,99
63,17376,180
60,17568,84
65,17664,170
60,17856,104
63,17952,190
60,18144,110
55,18240,125
55,18528,102
62,18624,204
55,18816,115
62,18912,187
55,19104,127
62,19200,191
55,19392,105
62,19488,181
59,19680,110
55,19776,145
54,20064,108
63,20160,203
59,20352,99
63,20448,180
59,20640,84
64,20736,170
59,20928,104
63,21024,190
59,21216,110
54,21312,125
55,21600,108
64,21696,203
60,21888,99
64,21984,180
60,22176,84
65,22272,170
60,22464,104
64,22560,190
60,22752,110
55,22848,125
55,23136,108
63,23232,203
60,23424,99
63,23520,180
60,23712,84
65,23808,170
60,24000,104
63,24096,190
60,24288,110
55,24384,125
55,24672,102
62,24768,204
55,24960,115
62,25056,187
55,25248,127
62,25344,191
55,25536,105
62,25632,181
59,25824,110
55,25920,145
54,26208,108
63,26304,203
59,26496,99
63,26592,180
59,26784,84
64,26880,170
59,27072,104
63,27168,190
59,27360,110
54,27456,125
55,27744,108
64,27840,203
60,28032,99
64,28128,180
60,28320,84
65,28416,170
60,28608,104
64,28704,190
60,28896,110
55,28992,125
55,29280,108
63,29376,203
60,29568,99
63,29664,180
60,29856,84
65,29952,170
60,30144,104
63,30240,190
60,30432,110
55,30528,125
55,30816,102
62,30912,204
55,31104,115
62,31200,187
55,31392,127
62,31488,191
55,31680,105
62,31776,181
59,31968,110
55,32064,145
54,32352,108
63,32448,203
59,32640,99
63,32736,180
59,32928,84
64,33024,170
59,33216,104
63,33312,190
59,33504,110
54,33600,125
55,33888,108
64,33984,203
60,34176,99
64,34272,180
60,34464,84
65,34560,170
60,34752,104
64,34848,190
60,35040,110
