note,time,duration
38,17276,27
38,17322,27
38,17759,19
38,17802,24
38,18239,31
38,35707,27
38,35755,38
38,36180,23
38,36225,25
38,36671,37
36,42240,41
38,42289,44
36,42373,44
38,42429,47
36,42516,43
38,42571,46
36,42660,44
38,42717,46
36,42813,70
38,42909,31
36,47616,55
38,47716,36
38,47807,36
36,47892,42
36,47996,46
38,48093,35
38,48195,36
36,48284,49
38,48384,46
36,48431,63
38,48524,44
36,48578,68
38,48672,46
36,48718,57
38,48768,24
38,48802,14
38,48816,32
38,48864,24
38,48888,24
38,48912,32
36,48960,32
36,49008,32
36,49056,32
36,49104,32
