note,time,duration
36,0,48
38,192,43
36,336,39
36,384,36
36,468,53
38,576,43
36,672,48
36,768,48
38,960,43
36,1104,39
36,1152,36
36,1236,53
38,1344,43
36,1440,48
36,1536,48
38,1728,43
36,1872,39
36,1920,36
36,2004,53
38,2112,43
36,2208,48
36,2304,48
38,2496,43
36,2640,39
36,2688,36
36,2772,53
38,2880,43
36,2976,48
36,3072,48
38,3264,43
36,3408,39
36,3456,36
36,3540,53
38,3648,43
36,3744,48
36,3840,48
38,4032,43
36,4176,39
36,4224,36
36,4308,53
38,4416,43
36,4512,48
36,4608,48
38,4800,43
36,4944,39
36,4992,36
36,5076,53
38,5184,43
36,5280,48
36,5376,48
38,5568,43
36,5712,39
36,5760,36
36,5844,53
38,5952,43
36,6048,48
36,6144,48
38,6336,43
36,6480,39
36,6528,36
36,6612,53
38,6720,43
36,6816,48
36,6912,48
38,7104,43
36,7248,39
36,7296,36
36,7380,53
38,7488,43
36,7584,48
36,7680,48
38,7872,43
36,8016,39
36,8064,36
36,8148,53
38,8256,43
36,8352,48
36,8448,48
38,8640,43
36,8784,39
36,8832,36
36,8916,53
38,9024,43
36,9120,48
36,9216,48
38,9408,43
36,9552,39
36,9600,36
36,9684,53
38,9792,43
36,9888,48
36,9984,48
38,10176,43
36,10320,39
36,10368,36
36,10452,53
38,10560,43
36,10656,48
36,10752,48
38,10944,43
36,11088,39
36,11136,36
36,11220,53
38,11328,43
36,11424,48
36,11520,48
38,11712,43
36,11856,39
36,11904,36
36,11988,53
38,12096,43
36,12192,48
36,12288,48
38,12480,43
36,12624,39
36,12672,36
36,12756,53
38,12864,43
36,12960,48
36,13056,48
38,13248,43
36,13392,39
36,13440,36
36,13524,53
38,13632,43
36,13728,48
36,13824,48
38,14016,43
36,14160,39
36,14208,36
36,14292,53
38,14400,43
36,14496,48
36,14592,48
38,14784,43
36,14928,39
36,14976,36
36,15060,53
38,15168,43
36,15264,48
36,15360,48
38,15552,43
36,15696,39
36,15744,36
36,15828,53
38,15936,43
36,16032,48
36,16128,48
38,16320,43
36,16464,39
36,16512,36
36,16596,53
38,16704,43
36,16800,48
36,16896,48
38,17088,43
36,17232,39
36,17280,36
36,17364,53
38,17472,43
36,17568,48
36,17664,48
38,17856,43
36,18000,39
36,18048,36
36,18132,53
38,18240,43
36,18336,48
36,18432,48
38,18624,43
36,18768,39
36,18816,36
36,18900,53
38,19008,43
36,19104,48
36,19200,48
38,19392,43
36,19536,39
36,19584,36
36,19668,53
38,19776,43
36,19872,48
36,19968,48
38,20160,43
36,20304,39
36,20352,36
36,20436,53
38,20544,43
36,20640,48
36,20736,48
38,20928,43
36,21072,39
36,21120,36
36,21204,53
38,21312,43
36,21408,48
36,21504,48
38,21696,43
36,21840,39
36,21888,36
36,21972,53
38,22080,43
36,22176,48
36,22272,48
38,22464,43
36,22608,39
36,22656,36
36,22740,53
38,22848,43
36,22944,48
36,23040,48
38,23232,43
36,23376,39
36,23424,36
36,23508,53
38,23616,43
36,23712,48
36,23808,48
38,24000,43
36,24144,39
36,24192,36
36,24276,53
38,24384,43
36,24480,48
36,24576,48
38,24768,43
36,24912,39
36,24960,36
36,25044,53
38,25152,43
36,25248,48
36,25344,48
38,25536,43
36,25680,39
36,25728,36
36,25812,53
38,25920,43
36,26016,48
36,26112,48
38,26304,43
36,26448,39
36,26496,36
36,26580,53
38,26688,43
36,26784,48
36,26880,48
38,27072,43
36,27216,39
36,27264,36
36,27348,53
38,27456,43
36,27552,48
36,27648,48
38,27840,43
36,27984,39
36,28032,36
36,28116,53
38,28224,43
36,28320,48
36,28416,48
38,28608,43
36,28752,39
36,28800,36
36,28884,53
38,28992,43
36,29088,48
36,29184,48
38,29376,43
36,29520,39
36,29568,36
36,29652,53
38,29760,43
36,29856,48
36,29952,48
38,30144,43
36,30288,39
36,30336,36
36,30420,53
38,30528,43
36,30624,48
36,30720,48
38,30912,43
36,31056,39
36,31104,36
36,31188,53
38,31296,43
36,31392,48
36,31488,48
38,31680,43
36,31824,39
36,31872,36
36,31956,53
38,32064,43
36,32160,48
36,32256,48
38,32448,43
36,32592,39
36,32640,36
36,32724,53
38,32832,43
36,32928,48
36,33024,48
38,33216,43
36,33360,39
36,33408,36
36,33492,53
38,33600,43
36,33696,48
36,33792,48
38,33984,43
36,34128,39
36,34176,36
36,34260,53
38,34368,43
36,34464,48
36,34560,48
38,34752,43
36,34896,39
36,34944,36
36,35028,53
38,35136,43
36,35232,48
36,35328,48
38,35520,43
36,35664,39
36,35712,36
36,35796,53
38,35904,43
36,36000,48
36,36096,48
38,36288,43
36,36432,39
36,36480,36
36,36564,53
38,36672,43
36,36768,48
36,36864,48
38,37056,43
36,37200,39
36,37248,36
36,37332,53
38,37440,43
36,37536,48
36,37632,48
38,37824,43
36,37968,39
36,38016,36
36,38100,53
38,38208,43
36,38304,48
36,38400,48
38,38592,43
36,38736,39
36,38784,36
36,38868,53
38,38976,43
36,39072,48
36,39168,48
38,39360,43
36,39504,39
36,39552,36
36,39636,53
38,39744,43
36,39840,48
36,39936,48
38,40128,43
36,40272,39
36,40320,36
36,40404,53
38,40512,43
36,40608,48
36,40704,48
38,40896,43
36,41040,39
36,41088,36
36,41172,53
38,41280,43
36,41376,48
36,41472,48
38,41664,43
36,41808,39
36,41856,36
36,41940,53
38,42048,43
36,42144,48
36,43008,48
38,43200,43
36,43344,39
36,43392,36
36,43476,53
38,43584,43
36,43680,48
36,43776,48
38,43968,43
36,44112,39
36,44160,36
36,44244,53
38,44352,43
36,44448,48
36,44544,48
38,44736,43
36,44880,39
36,44928,36
36,45012,53
38,45120,43
36,45216,48
36,45312,48
38,45504,43
36,45648,39
36,45696,36
36,45780,53
38,45888,43
36,45984,48
36,46080,48
38,46272,43
36,46416,39
36,46464,36
36,46548,53
38,46656,43
36,46752,48
36,46848,48
38,47040,43
36,47184,39
36,47232,36
36,47316,53
38,47424,43
36,47520,48
36,49152,48
38,49344,43
36,49488,39
36,49536,36
36,49620,53
38,49728,43
36,49824,48
36,49920,48
38,50112,43
36,50256,39
36,50304,36
36,50388,53
38,50496,43
36,50592,48
36,50688,48
38,50880,43
36,51024,39
36,51072,36
36,51156,53
38,51264,43
36,51360,48
36,51456,48
38,51648,43
36,51792,39
36,51840,36
36,51924,53
38,52032,43
36,52128,48
36,52224,48
38,52416,43
36,52560,39
36,52608,36
36,52692,53
38,52800,43
36,52896,48
36,52992,48
38,53184,43
36,53328,39
36,53376,36
36,53460,53
38,53568,43
36,53664,48
36,61440,48
38,61632,43
36,61776,39
36,61824,36
36,61908,53
38,62016,43
36,62112,48
36,62208,48
38,62400,43
36,62544,39
36,62592,36
36,62676,53
38,62784,43
36,62880,48
36,62976,48
38,63168,43
36,63312,39
36,63360,36
36,63444,53
38,63552,43
36,63648,48
36,63744,48
38,63936,43
36,64080,39
36,64128,36
36,64212,53
38,64320,43
36,64416,48
36,64512,48
38,64704,43
36,64848,39
36,64896,36
36,64980,53
38,65088,43
36,65184,48
63,66816,17
63,66856,18
63,66898,20
63,66943,17
63,66975,26
63,67012,26
63,67048,27
63,67090,26
63,67134,27
63,67177,26
63,67222,26
63,67267,27
63,67316,27
63,67361,28
63,67413,27
63,67459,28
63,67510,27
63,67565,28
63,67633,30
63,67730,27
