note,time,duration
67,18022,25
67,18058,69
71,18147,148
71,18333,99
71,18432,1058
67,19558,17
67,19602,68
71,19684,144
71,19861,128
66,20033,212
64,20269,71
63,20332,593
71,20992,59
71,21072,50
72,21116,76
71,21212,51
71,21307,44
69,21353,76
71,21446,1111
67,22656,104
69,22748,97
67,22836,69
70,22933,178
67,23123,886
67,36454,25
67,36490,69
71,36579,148
71,36765,1171
67,37979,18
67,38020,67
71,38106,141
71,38291,129
66,38472,144
64,38724,48
63,38796,384
71,39444,62
71,39521,1
71,39528,1
72,39581,52
71,39658,44
71,39744,41
69,39787,94
71,39890,1148
67,41096,94
69,41182,104
67,41272,76
70,41369,162
67,41554,511
74,42135,176
72,42331,105
74,42516,158
72,42715,180
67,61030,25
67,61066,69
71,61155,148
71,61341,1171
67,62555,18
67,62596,67
71,62682,141
71,62867,129
66,63048,144
64,63300,48
63,63372,384
71,64020,62
71,64097,1
71,64104,1
72,64157,52
71,64234,44
71,64320,41
69,64363,94
71,64466,1148
67,65672,94
69,65758,104
67,65848,76
70,65945,162
67,66130,511
67,67200,96
69,67308,74
67,67392,96
71,67488,192
67,67680,888
