note,time,duration
72,12022,187
75,12248,100
75,12483,211
72,12730,105
72,12963,497
68,13920,204
70,14160,69
70,14400,204
68,14640,87
68,14880,480
68,15840,204
70,16080,69
70,16320,204
68,16560,87
68,16800,480
68,17554,61
68,17773,70
68,17995,189
70,18253,210
72,18491,95
72,18732,514
72,19702,187
75,19928,100
75,20163,211
72,20410,105
72,20643,497
68,21600,204
70,21840,69
70,22080,204
68,22320,87
68,22560,480
68,23520,204
70,23760,69
70,24000,204
68,24240,87
68,24480,480
68,25234,61
68,25453,70
68,25675,189
70,25933,210
72,26171,95
72,26412,514
75,27360,250
80,27600,78
80,27840,198
75,28080,108
75,28320,533
75,29040,58
75,29280,113
75,29520,65
77,29760,232
80,30000,99
80,30240,314
75,31200,292
80,31440,77
80,31680,210
75,31920,120
75,32160,102
75,32400,124
77,32640,150
75,32880,113
75,33120,103
75,33360,78
77,33600,201
75,33840,79
75,34080,807
72,35086,189
75,35306,89
75,35538,202
72,35765,93
72,36013,546
68,36960,218
70,37200,102
70,37440,194
68,37680,75
68,37920,425
68,38651,50
68,38847,283
70,39147,106
70,39396,188
68,39635,78
68,39839,412
68,40804,78
68,41045,216
70,41294,129
68,41540,142
68,41780,217
72,42000,1381
70,43680,236
73,43920,1348
72,45640,208
75,45881,1633
73,47520,281
77,47781,1455
79,49499,208
80,49702,1652
75,51360,236
82,51600,1434
80,53040,124
80,53280,206
84,53520,919
80,54480,668
80,55200,234
77,55440,882
75,56400,56
87,56640,199
85,56880,213
84,57120,221
82,57360,141
82,57600,1332
80,59040,199
84,59280,1000
87,60480,157
85,60720,209
84,60960,226
82,61200,174
82,61440,1448
80,62880,217
84,63120,850
87,64338,196
85,64562,270
84,64820,222
82,65067,168
82,65280,389
82,66000,345
82,66720,281
75,67680,79
75,67920,222
87,68160,234
85,68400,234
84,68640,234
82,68880,152
82,69120,389
82,69840,345
82,70560,281
75,71760,56
87,72000,199
85,72240,213
84,72480,221
82,72720,141
82,72960,1332
80,74400,199
84,74640,1000
87,75840,157
85,76080,209
84,76320,226
82,76560,174
82,76800,1448
80,78240,217
84,78480,850
87,79698,196
85,79922,270
84,80180,222
82,80427,168
82,80640,389
82,81360,345
82,82080,281
75,82800,79
75,83040,79
75,83280,222
87,83520,234
85,83760,234
84,84000,234
82,84240,152
82,84480,389
82,85200,345
82,85920,234
80,86160,641
72,88822,187
75,89048,100
75,89283,211
72,89530,105
72,89763,497
68,90720,204
70,90960,69
70,91200,204
68,91440,87
68,91680,480
68,92640,204
70,92880,69
70,93120,204
68,93360,87
68,93600,480
68,94354,61
68,94573,70
68,94795,189
70,95053,210
72,95291,95
72,95532,514
72,96502,187
75,96728,100
75,96963,211
72,97210,105
72,97443,497
68,98400,204
70,98640,69
70,98880,204
68,99120,87
68,99360,480
68,100080,69
68,100320,204
70,100560,69
70,100800,204
68,101040,87
68,101280,480
68,102253,70
68,102475,189
70,102733,210
72,102971,95
72,103212,514
75,103920,108
75,104160,250
80,104400,78
80,104640,198
75,104880,108
75,105120,533
75,106080,113
75,106320,65
77,106560,232
80,106800,99
80,107040,314
75,107760,120
75,108000,292
80,108240,77
80,108480,210
75,108720,120
75,108960,102
75,109200,124
77,109440,150
75,109680,113
75,109920,103
75,110160,78
77,110400,201
75,110640,79
75,110880,807
72,111886,189
75,112106,89
75,112338,202
72,112565,93
72,112813,546
70,114000,102
70,114240,194
68,114480,75
68,114720,425
68,115451,50
68,115647,283
70,115947,106
70,116196,188
68,116435,78
68,116639,412
68,117604,78
68,117845,216
70,118094,129
68,118340,142
68,118580,217
72,118800,1381
70,120480,236
73,120720,1348
72,122440,208
75,122681,1359
73,124320,281
77,124581,1455
79,126299,208
80,126502,1652
75,128160,236
82,128400,1434
80,129840,124
80,130080,206
84,130320,919
80,131280,668
80,132000,234
77,132240,882
75,133200,56
87,133440,199
85,133680,213
84,133920,221
82,134160,141
82,134400,1332
80,135840,199
84,136080,1000
87,137280,157
85,137520,209
84,137760,226
82,138000,174
82,138240,1448
80,139680,217
84,139920,850
87,141138,196
85,141362,270
84,141620,222
82,141867,168
82,142080,389
82,142800,345
82,143520,281
75,144480,79
75,144720,222
87,144960,234
85,145200,234
84,145440,234
82,145680,152
82,145920,389
82,146640,345
82,147360,281
75,148560,56
87,148800,199
