note,time,duration
51,42240,67
60,42240,69
44,42480,67
51,42480,67
51,42720,100
58,42720,100
44,42960,76
51,42960,100
51,43200,83
60,43200,80
44,43440,90
51,43440,83
51,43680,98
58,43680,100
44,43920,84
51,43920,98
53,44160,67
61,44160,69
46,44400,67
53,44400,67
53,44640,100
60,44640,100
46,44880,76
53,44880,100
53,45120,83
61,45120,80
46,45360,90
53,45360,83
53,45600,98
60,45600,100
46,45840,84
53,45840,98
53,46080,92
58,46080,96
41,46320,85
48,46320,76
51,46560,85
56,46560,87
41,46800,58
48,46800,53
53,47040,90
58,47040,96
41,47280,64
48,47280,69
51,47520,82
56,47520,92
41,47760,58
48,47760,68
53,48000,92
58,48000,96
37,48240,85
44,48240,76
51,48480,85
56,48480,87
37,48720,58
44,48720,53
53,48960,90
58,48960,96
37,49200,64
44,49200,69
51,49440,82
56,49440,92
37,49680,58
44,49680,68
51,49920,67
60,49920,69
44,50160,67
51,50160,67
51,50400,100
58,50400,100
44,50640,76
51,50640,100
51,50880,83
60,50880,80
44,51120,90
51,51120,83
51,51360,98
58,51360,100
44,51600,84
51,51600,98
53,51840,67
61,51840,69
46,52080,67
53,52080,67
53,52320,100
60,52320,100
46,52560,76
53,52560,100
53,52800,83
61,52800,80
46,53040,90
53,53040,83
53,53280,98
60,53280,100
46,53520,84
53,53520,98
53,53760,92
58,53760,96
41,54000,85
48,54000,76
51,54240,85
56,54240,87
41,54480,58
48,54480,53
53,54720,90
58,54720,96
41,54960,64
48,54960,69
51,55200,82
56,55200,92
41,55440,58
48,55440,68
53,55680,92
58,55680,96
37,55920,85
44,55920,76
51,56160,85
56,56160,87
37,56400,58
44,56400,53
53,56640,90
58,56640,96
37,56880,64
44,56880,69
51,57120,82
56,57120,92
37,57360,58
44,57360,68
51,57600,67
60,57600,69
44,57840,67
51,57840,67
51,58080,100
58,58080,100
44,58320,76
51,58320,100
51,58560,83
60,58560,80
44,58800,90
51,58800,83
51,59040,98
58,59040,100
44,59280,84
51,59280,98
53,59520,67
61,59520,69
46,59760,67
53,59760,67
53,60000,100
60,60000,100
46,60240,76
53,60240,100
53,60480,83
61,60480,80
46,60720,90
53,60720,83
53,60960,98
60,60960,100
46,61200,84
53,61200,98
53,61440,92
58,61440,96
41,61680,85
48,61680,76
51,61920,85
56,61920,87
41,62160,58
48,62160,53
53,62400,90
58,62400,96
41,62640,64
48,62640,69
51,62880,82
56,62880,92
41,63120,58
48,63120,68
53,63360,92
58,63360,96
37,63600,85
44,63600,76
51,63840,85
56,63840,87
37,64080,58
44,64080,53
53,64320,90
58,64320,96
37,64560,64
44,64560,69
51,64800,82
56,64800,92
37,65040,58
44,65040,68
51,65280,67
60,65280,69
44,65520,67
51,65520,67
51,65760,100
58,65760,100
44,66000,76
51,66000,100
51,66240,83
60,66240,80
44,66480,90
51,66480,83
51,66720,98
58,66720,100
44,66960,84
51,66960,98
53,67200,67
61,67200,69
46,67440,67
53,67440,67
53,67680,100
60,67680,100
46,67920,76
53,67920,100
53,68160,83
61,68160,80
46,68400,90
53,68400,83
53,68640,98
60,68640,100
46,68880,84
53,68880,98
53,69120,92
58,69120,96
41,69360,85
48,69360,76
51,69600,85
56,69600,87
41,69840,58
48,69840,53
53,70080,90
58,70080,96
41,70320,64
48,70320,69
51,70560,82
56,70560,92
41,70800,58
48,70800,68
53,71040,92
58,71040,96
37,71280,85
44,71280,76
51,71520,85
56,71520,87
37,71760,58
44,71760,53
53,72000,90
58,72000,96
37,72240,64
44,72240,69
51,72480,82
56,72480,92
37,72720,58
44,72720,68
51,72960,67
60,72960,69
44,73200,67
51,73200,67
51,73440,100
58,73440,100
44,73680,76
51,73680,100
51,73920,83
60,73920,80
44,74160,90
51,74160,83
51,74400,98
58,74400,100
44,74640,84
51,74640,98
53,74880,67
61,74880,69
46,75120,67
53,75120,67
53,75360,100
60,75360,100
46,75600,76
53,75600,100
53,75840,83
61,75840,80
46,76080,90
53,76080,83
53,76320,98
60,76320,100
46,76560,84
53,76560,98
53,76800,92
58,76800,96
41,77040,85
48,77040,76
51,77280,85
56,77280,87
41,77520,58
48,77520,53
53,77760,90
58,77760,96
41,78000,64
48,78000,69
51,78240,82
56,78240,92
41,78480,58
48,78480,68
53,78720,92
58,78720,96
37,78960,85
44,78960,76
51,79200,85
56,79200,87
37,79440,58
44,79440,53
53,79680,90
58,79680,96
37,79920,64
44,79920,69
51,80160,82
56,80160,92
37,80400,58
44,80400,68
51,80640,67
60,80640,69
44,80880,67
51,80880,67
51,81120,100
58,81120,100
44,81360,76
51,81360,100
51,81600,83
60,81600,80
44,81840,90
51,81840,83
51,82080,98
58,82080,100
44,82320,84
51,82320,98
53,82560,67
61,82560,69
46,82800,67
53,82800,67
53,83040,100
60,83040,100
46,83280,76
53,83280,100
53,83520,83
61,83520,80
46,83760,90
53,83760,83
53,84000,98
60,84000,100
46,84240,84
53,84240,98
53,84480,92
58,84480,96
41,84720,85
48,84720,76
51,84960,85
56,84960,87
41,85200,58
48,85200,53
53,85440,90
58,85440,96
41,85680,64
48,85680,69
51,85920,82
56,85920,92
41,86160,58
48,86160,68
53,86400,92
58,86400,96
37,86640,85
44,86640,76
51,86880,85
56,86880,87
37,87120,58
44,87120,53
53,87360,90
58,87360,96
37,87600,64
44,87600,69
51,87840,82
56,87840,92
37,88080,58
44,88080,68
51,119040,67
60,119040,69
44,119280,67
51,119280,67
51,119520,100
58,119520,100
44,119760,76
51,119760,100
51,120000,83
60,120000,80
44,120240,90
51,120240,83
51,120480,98
58,120480,100
44,120720,84
51,120720,98
53,120960,67
61,120960,69
46,121200,67
53,121200,67
53,121440,100
60,121440,100
46,121680,76
53,121680,100
53,121920,83
61,121920,80
46,122160,90
53,122160,83
53,122400,98
60,122400,100
46,122640,84
53,122640,98
53,122880,92
58,122880,96
41,123120,85
48,123120,76
51,123360,85
56,123360,87
41,123600,58
48,123600,53
53,123840,90
58,123840,96
41,124080,64
48,124080,69
51,124320,82
56,124320,92
41,124560,58
48,124560,68
53,124800,92
58,124800,96
37,125040,85
44,125040,76
51,125280,85
56,125280,87
37,125520,58
44,125520,53
53,125760,90
58,125760,96
37,126000,64
44,126000,69
51,126240,82
56,126240,92
37,126480,58
44,126480,68
51,126720,67
60,126720,69
44,126960,67
51,126960,67
51,127200,100
58,127200,100
44,127440,76
51,127440,100
51,127680,83
60,127680,80
44,127920,90
51,127920,83
51,128160,98
58,128160,100
44,128400,84
51,128400,98
53,128640,67
61,128640,69
46,128880,67
53,128880,67
53,129120,100
60,129120,100
46,129360,76
53,129360,100
53,129600,83
61,129600,80
46,129840,90
53,129840,83
53,130080,98
60,130080,100
46,130320,84
53,130320,98
53,130560,92
58,130560,96
41,130800,85
48,130800,76
51,131040,85
56,131040,87
41,131280,58
48,131280,53
53,131520,90
58,131520,96
41,131760,64
48,131760,69
51,132000,82
56,132000,92
41,132240,58
48,132240,68
53,132480,92
58,132480,96
37,132720,85
44,132720,76
51,132960,85
56,132960,87
37,133200,58
44,133200,53
53,133440,90
58,133440,96
37,133680,64
44,133680,69
51,133920,82
56,133920,92
37,134160,58
44,134160,68
51,134400,67
60,134400,69
44,134640,67
51,134640,67
51,134880,100
58,134880,100
44,135120,76
51,135120,100
51,135360,83
60,135360,80
44,135600,90
51,135600,83
51,135840,98
