note,time,duration
67,149760,1438
65,151200,238
68,151440,958
67,153600,1438
65,155040,958
63,157440,1918
68,157440,1918
63,161280,281
67,161280,283
63,162000,235
67,162000,249
63,162720,161
67,162720,164
61,162960,343
65,162960,330
67,195840,1438
65,197280,238
68,197520,958
67,199680,1438
65,201120,958
63,203520,1918
68,203520,1918
63,207360,1438
67,207360,1438
63,208800,958
67,208800,238
68,209040,718
68,211200,718
72,211200,718
67,211920,718
70,211920,718
63,212640,958
67,212640,958
63,213600,1438
68,213600,1438
68,215040,718
72,215040,718
67,215760,718
70,215760,718
63,216480,1438
68,216480,1438
68,218880,718
72,218880,718
67,219600,718
70,219600,718
63,220320,2398
68,220320,2398
68,222720,718
72,222720,718
67,223440,718
70,223440,718
63,224160,1318
68,224160,1318
