note,time,duration
67,149760,1407
65,151200,227
68,151440,696
67,153600,1385
65,155040,99
65,155280,613
63,157440,317
68,157440,328
63,158160,393
68,158160,390
63,158880,318
68,158880,338
63,161280,281
67,161280,283
63,162000,235
67,162000,249
63,162720,161
67,162720,164
61,162960,343
65,162960,330
67,195840,1420
65,197280,241
68,197520,648
67,199680,1420
65,201120,234
65,201360,648
63,203520,323
68,203520,342
63,204240,398
68,204240,406
63,204960,275
68,204960,295
63,207360,339
67,207360,340
63,208080,437
67,208080,442
63,208800,558
67,208800,201
68,209040,378
68,211200,522
72,211200,508
67,211920,526
70,211920,533
63,212640,358
67,212640,376
63,213600,423
68,213600,423
63,214080,150
68,214080,167
63,214320,72
68,214320,102
63,214560,64
68,214560,87
63,214800,69
68,214800,116
68,215040,522
72,215040,508
67,215760,526
70,215760,533
63,216480,1003
68,216480,1011
68,218880,522
72,218880,508
67,219600,526
70,219600,533
63,220320,954
68,220320,954
63,221280,423
68,221280,423
63,221760,150
68,221760,167
63,222000,72
68,222000,102
63,222240,64
68,222240,87
63,222480,69
68,222480,116
68,222720,522
72,222720,508
67,223440,526
70,223440,533
63,224160,1003
68,224160,1011
